GuessSync E63 — «Guess the Nut or Seed» — Image Attributions
100 real nut / seed / legume photos sourced from Wikimedia Commons / Wikipedia.
Images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that.
Format: slug — Name | Author | License | Source
marula — Marula | Martin Hipangwa | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Sun%20drying%20Marula%20nuts%20in%20Ohangwena%20constituency.jpg
mongongonut — Mongongo Nut | Roger Culos | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Schinziophyton%20rautanenii%20MHNT.BOT.2025.25.31.jpg
paradisenut — Paradise Nut | Alex Popovkin, Bahia, Brazil from Brazil (top left), Nando cunha (bottom left), Alex Popovkin, Bahia, Brazil from Brazil (right), montage by RoRo | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Lecythis_fruit_compose.jpg
souarinut — Souari Nut | Unknown | Public domain | https://commons.wikimedia.org/wiki/File:Caryocar%20nuciferum%20-%20Lemaire.JPG
watercaltrop — Water Caltrop | Okapi at German Wikipedia | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Trapa%20natans%20nut.jpg
ogbono — Ogbono | GodwinPaya | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Ogbono%20seeds.jpg
karuka — Karuka | LISYE IRIANA ZEBUA Departement of Biology, Faculty of Mathematic and Natural Science, Cenderawasih University, Kampus Baru, UNCEN, Waena, Jayapura, Papua VITA PURNAMASARI Departement of Biology, Faculty of Mathematic and Natural Science, Cenderawasih University, Kampus Baru, UNCEN, Waena, Jayapura, Papua | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Pandanus%20julianettii%20nuts.png
yehebnut — Yeheb Nut | Hooker, W.J., Hooker, J.D., Icones Plantarum [Hooker’s] Icones plantarum], vol. 29: t. 2839 (1907) [M. Smith] | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:435951bd4f95c55ce7bfcb5617e0752e41ac8992%20271px.jpg
malabarchestnut — Malabar Chestnut | Honmingjun | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Pachira%20aquatica%20Seed.jpg
jackfruitseed — Jackfruit Seed | Gharouni | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Jackfruit%20seeds.jpg
lotusseed — Lotus Seed | Basile Morin | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Lotus%20fruit%20seeds.jpg
foxnut — Foxnut | FacetsOfNonStickPans | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Foxnut%20Makhana%20-%20Nawada%20District%20-%20Bihar%20-%201.jpg
detarium — Detarium | Roger Culos | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Detarium%20senegalense%20MHNT.BOT.2016.24.69.jpg
velvetbean — Velvet Bean | Tracey Slotta @ USDA-NRCS PLANTS Database | Public domain | https://commons.wikimedia.org/wiki/File:Mucuna-pruriens-seeds.jpg
africanlocustbean — African Locust Bean | Achiri Bitamsimli | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Dawadawa%20seeds.jpg
swordbean — Sword Bean | KENPEI | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Canavalia_gladiata2.jpg
gacseed — Gac Seed | Omar hoftun | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Momordica%20cochinchinensis%20seeds%2C%20by%20Omar%20Hoftun.jpg
coquitonut — Coquito Nut | Karelj | Public domain | https://commons.wikimedia.org/wiki/File:Jubaea%20chilensis%20seeds.jpg
